fold,test_year,model,seed,observations,mae,rmse,mean_error,directional_accuracy,directional_coverage,pearson_correlation,mae_ratio_vs_zero
1,2018,zero_return,,365,0.0304122344062,0.0439751760988,0.00363990594792,,0,,1
1,2018,historical_mean,,365,0.0305620412005,0.0443854674219,0.00703580277198,0.509589041096,1,,1.00492587267
1,2018,ridge,,365,0.0321557071118,0.0449020633731,0.00384550216315,0.523287671233,1,0.0680151654042,1.05732800432
1,2018,lstm,,365,0.0306685243338,0.0443751007708,0.00621118187571,0.501369863014,1,-0.023837875245,1.00842719822
2,2019,zero_return,,365,0.0240828975361,0.0366444588201,-0.00182102720728,,0,,1
2,2019,historical_mean,,365,0.0241273965292,0.0366010512381,0.000369769658185,0.515068493151,1,,1.00184774249
2,2019,ridge,,365,0.0256186168736,0.0378881452668,0.000214018979925,0.523287671233,1,0.0310773718382,1.06376804681
2,2019,lstm,,365,0.023956404533,0.0367646295609,0.000917099422157,0.553424657534,1,0.00441225312571,0.994747600327
3,2020,zero_return,,366,0.0239670620437,0.0410950396765,-0.003821133936,,0,,1
3,2020,historical_mean,,366,0.0237252631898,0.0409516600196,-0.00168440995725,0.57650273224,1,,0.989911201737
3,2020,ridge,,366,0.0253968835542,0.0417757219238,-0.00136212293079,0.513661202186,1,0.0689064858716,1.05965777148
3,2020,lstm,,366,0.0236831928401,0.0406985689778,-0.000879414119033,0.592896174863,1,0.113061782265,0.988155861444
4,2021,zero_return,,365,0.0305213574552,0.0411152604959,-0.0012828887528,,0,,1
4,2021,historical_mean,,365,0.0304693649577,0.0411091488655,0.00106924195005,0.531506849315,1,,0.998296520803
4,2021,ridge,,365,0.0309812020806,0.041109649795,0.000197909915513,0.520547945205,1,0.111350228179,1.01506632285
4,2021,lstm,,365,0.030542789559,0.0411586168002,0.00205678906684,0.556164383562,1,0.0559808409017,1.00070220022
5,2022,zero_return,,365,0.0225573948418,0.0338687252783,0.00282604011439,,0,,1
5,2022,historical_mean,,365,0.022739340449,0.034127402963,0.00505723083838,0.482191780822,1,,1.00806589628
5,2022,ridge,,365,0.0239372929357,0.035108810582,0.00381029977007,0.468493150685,1,-0.0301109541565,1.06117275969
5,2022,lstm,,365,0.0228016819441,0.0340656509692,0.00335125745692,0.482191780822,1,-0.0643253209774,1.01082957957
6,2023,zero_return,,365,0.0152740183996,0.0227496586053,-0.00256986217645,,0,,1
6,2023,historical_mean,,365,0.015356046945,0.0226201157018,-0.000852560443555,0.506849315068,1,,1.00537046265
6,2023,ridge,,365,0.0163549647458,0.0235141831559,-0.000366939515198,0.504109589041,1,-0.0524444942998,1.07077026608
6,2023,lstm,,365,0.0155639911208,0.0227672973908,-0.000895487408425,0.506849315068,1,0.0177125537631,1.0189847042
7,2024,zero_return,,366,0.0200567221776,0.0275180625659,-0.0021692750411,,0,,1
7,2024,historical_mean,,366,0.0200339632316,0.0274349665534,-0.000373331771209,0.527322404372,1,,0.998865270916
7,2024,ridge,,366,0.0205555192708,0.0280570014477,-0.000378035826019,0.521857923497,1,-0.00308619437275,1.02486932256
7,2024,lstm,,366,0.0200517648675,0.027432463455,-0.000280447081383,0.51912568306,1,0.0326878516969,0.99975283548
8,2025,zero_return,,365,0.0157925492302,0.0218995321632,0.000177941371552,,0,,1
8,2025,historical_mean,,365,0.0158767833055,0.0219904489439,0.00200549218904,0.506849315068,1,,1.00533378583
8,2025,ridge,,365,0.0164764192074,0.0225390904928,0.00141536445041,0.490410958904,1,-0.0285170783612,1.0433033304
8,2025,lstm,,365,0.0158158151071,0.0219055933167,0.00100102435354,0.523287671233,1,0.0432743084682,1.00147321858
