model,cost_bps,observations,total_return,cagr,annualized_volatility,sharpe_zero_rate,max_drawdown,turnover,exposure,trades
zero_return,0,2922,0,0,0,,0,0,0,0
historical_mean,0,2922,5.28647054807,0.258150372975,0.653199035504,0.682440893339,-0.813777448011,1,1,1
ridge,0,2922,6.93068020843,0.295200077396,0.456747762298,0.793583102962,-0.767162594681,1202,0.588295687885,1202
lstm,0,2922,16.689909161,0.43172282158,0.573270303307,0.912628460686,-0.809828741258,289,0.764202600958,289
buy_and_hold,0,2922,5.28647054807,0.258150372975,0.653199035504,0.682440893339,-0.813777448011,1,1,1
zero_return,5,2922,0,0,0,,0,0,0,0
historical_mean,5,2922,5.28322066952,0.258069107944,0.653202313811,0.682341851327,-0.813777448011,1,1,1
ridge,5,2922,3.35016655849,0.201596366776,0.456678781883,0.629312633161,-0.786536415265,1202,0.588295687885,1202
lstm,5,2922,14.314421444,0.406164662264,0.573228153481,0.881206993245,-0.812082938257,289,0.764202600958,289
buy_and_hold,5,2922,5.28322066952,0.258069107944,0.653202313811,0.682341851327,-0.813777448011,1,1,1
zero_return,10,2922,0,0,0,,0,0,0,0
historical_mean,10,2922,5.27997079096,0.257987806123,0.653205639894,0.682242760409,-0.813777448011,1,1,1
ridge,10,2922,1.3854532068,0.114715547716,0.456658178987,0.464943269968,-0.809250839359,1202,0.588295687885,1202
lstm,10,2922,12.2569708925,0.381050323491,0.573200188523,0.849759875228,-0.81431151641,289,0.764202600958,289
buy_and_hold,10,2922,5.27997079096,0.257987806123,0.653205639894,0.682242760409,-0.813777448011,1,1,1
zero_return,25,2922,0,0,0,,0,0,0,0
historical_mean,25,2922,5.2702211553,0.257743679556,0.653215904786,0.681945194458,-0.813777448011,1,1,1
ridge,25,2922,-0.607371286073,-0.110220296011,0.456886624022,-0.0282358719775,-0.889344025371,1202,0.588295687885,1202
lstm,25,2922,7.59582200693,0.308295932408,0.573201418355,0.755287925218,-0.820846309645,289,0.764202600958,289
buy_and_hold,25,2922,5.2702211553,0.257743679556,0.653215904786,0.681945194458,-0.813777448011,1,1,1
zero_return,50,2922,0,0,0,,0,0,0,0
historical_mean,50,2922,5.25397176252,0.25733606279,0.653233968378,0.681448275282,-0.813777448011,1,1,1
ridge,50,2922,-0.980707886817,-0.389312297915,0.458232511887,-0.847317640831,-0.982504998449,1202,0.588295687885,1202
lstm,50,2922,3.16930821825,0.195239532233,0.573487152098,0.597539847729,-0.831250698098,289,0.764202600958,289
buy_and_hold,50,2922,5.25397176252,0.25733606279,0.653233968378,0.681448275282,-0.813777448011,1,1,1
