fold,test_year,origin_date,target_date,model,cost_bps,actual_log_return,predicted_log_return,position,turnover,gross_simple_return,cost,net_simple_return,equity
1,2018,2017-12-31,2018-01-01,zero_return,10,-0.0333650163283,0,0,0,-0,0,-0,1
1,2018,2018-01-01,2018-01-02,zero_return,10,0.0914680698634,0,0,0,0,0,0,1
1,2018,2018-01-02,2018-01-03,zero_return,10,0.0171996393592,0,0,0,0,0,0,1
1,2018,2018-01-03,2018-01-04,zero_return,10,0.00399026247816,0,0,0,0,0,0,1
1,2018,2018-01-04,2018-01-05,zero_return,10,0.120324264563,0,0,0,0,0,0,1
1,2018,2018-01-05,2018-01-06,zero_return,10,0.00623810377842,0,0,0,0,0,0,1
1,2018,2018-01-06,2018-01-07,zero_return,10,-0.0523225286148,0,0,0,-0,0,-0,1
1,2018,2018-01-07,2018-01-08,zero_return,10,-0.0830966669817,0,0,0,-0,0,-0,1
1,2018,2018-01-08,2018-01-09,zero_return,10,-0.0381291137214,0,0,0,-0,0,-0,1
1,2018,2018-01-09,2018-01-10,zero_return,10,0.0200024090768,0,0,0,0,0,0,1
1,2018,2018-01-10,2018-01-11,zero_return,10,-0.106529528235,0,0,0,-0,0,-0,1
1,2018,2018-01-11,2018-01-12,zero_return,10,0.0446904351426,0,0,0,0,0,0,1
1,2018,2018-01-12,2018-01-13,zero_return,10,0.0315351511234,0,0,0,0,0,0,1
1,2018,2018-01-13,2018-01-14,zero_return,10,-0.0394257049254,0,0,0,-0,0,-0,1
1,2018,2018-01-14,2018-01-15,zero_return,10,-0.00655376125102,0,0,0,-0,0,-0,1
1,2018,2018-01-15,2018-01-16,zero_return,10,-0.173126560997,0,0,0,-0,0,-0,1
1,2018,2018-01-16,2018-01-17,zero_return,10,-0.0240315876857,0,0,0,-0,0,-0,1
1,2018,2018-01-17,2018-01-18,zero_return,10,0.00771515889088,0,0,0,0,0,0,1
1,2018,2018-01-18,2018-01-19,zero_return,10,0.0171222823095,0,0,0,0,0,0,1
1,2018,2018-01-19,2018-01-20,zero_return,10,0.109835402663,0,0,0,0,0,0,1
1,2018,2018-01-20,2018-01-21,zero_return,10,-0.111397890526,0,0,0,-0,0,-0,1
1,2018,2018-01-21,2018-01-22,zero_return,10,-0.0618474658928,0,0,0,-0,0,-0,1
1,2018,2018-01-22,2018-01-23,zero_return,10,0.0103806591695,0,0,0,0,0,0,1
1,2018,2018-01-23,2018-01-24,zero_return,10,0.0341142374152,0,0,0,0,0,0,1
1,2018,2018-01-24,2018-01-25,zero_return,10,-0.00853732917544,0,0,0,-0,0,-0,1
1,2018,2018-01-25,2018-01-26,zero_return,10,-0.00856364105267,0,0,0,-0,0,-0,1
1,2018,2018-01-26,2018-01-27,zero_return,10,0.0255344769057,0,0,0,0,0,0,1
1,2018,2018-01-27,2018-01-28,zero_return,10,0.0257231290904,0,0,0,0,0,0,1
1,2018,2018-01-28,2018-01-29,zero_return,10,-0.0425062665471,0,0,0,-0,0,-0,1
1,2018,2018-01-29,2018-01-30,zero_return,10,-0.111342077005,0,0,0,-0,0,-0,1
1,2018,2018-01-30,2018-01-31,zero_return,10,0.0090506064635,0,0,0,0,0,0,1
1,2018,2018-01-31,2018-02-01,zero_return,10,-0.105937917547,0,0,0,-0,0,-0,1
1,2018,2018-02-01,2018-02-02,zero_return,10,-0.0284758962764,0,0,0,-0,0,-0,1
1,2018,2018-02-02,2018-02-03,zero_return,10,0.0386273617121,0,0,0,0,0,0,1
1,2018,2018-02-03,2018-02-04,zero_return,10,-0.101518649922,0,0,0,-0,0,-0,1
1,2018,2018-02-04,2018-02-05,zero_return,10,-0.186095194102,0,0,0,-0,0,-0,1
1,2018,2018-02-05,2018-02-06,zero_return,10,0.12204460286,0,0,0,0,0,0,1
1,2018,2018-02-06,2018-02-07,zero_return,10,-0.0148472158248,0,0,0,-0,0,-0,1
1,2018,2018-02-07,2018-02-08,zero_return,10,0.0750182909829,0,0,0,0,0,0,1
1,2018,2018-02-08,2018-02-09,zero_return,10,0.0523695362961,0,0,0,0,0,0,1
1,2018,2018-02-09,2018-02-10,zero_return,10,-0.0151433973131,0,0,0,-0,0,-0,1
1,2018,2018-02-10,2018-02-11,zero_return,10,-0.0521635984897,0,0,0,-0,0,-0,1
1,2018,2018-02-11,2018-02-12,zero_return,10,0.0954526345723,0,0,0,0,0,0,1
1,2018,2018-02-12,2018-02-13,zero_return,10,-0.0440308886482,0,0,0,-0,0,-0,1
1,2018,2018-02-13,2018-02-14,zero_return,10,0.104962029935,0,0,0,0,0,0,1
1,2018,2018-02-14,2018-02-15,zero_return,10,0.0653579789272,0,0,0,0,0,0,1
1,2018,2018-02-15,2018-02-16,zero_return,10,0.00813792410094,0,0,0,0,0,0,1
1,2018,2018-02-16,2018-02-17,zero_return,10,0.0843070579882,0,0,0,0,0,0,1
1,2018,2018-02-17,2018-02-18,zero_return,10,-0.0588446781886,0,0,0,-0,0,-0,1
1,2018,2018-02-18,2018-02-19,zero_return,10,0.0636822513674,0,0,0,0,0,0,1
1,2018,2018-02-19,2018-02-20,zero_return,10,0.00952209257661,0,0,0,0,0,0,1
1,2018,2018-02-20,2018-02-21,zero_return,10,-0.0725565388899,0,0,0,-0,0,-0,1
1,2018,2018-02-21,2018-02-22,zero_return,10,-0.0571238000695,0,0,0,-0,0,-0,1
1,2018,2018-02-22,2018-02-23,zero_return,10,0.0280403180814,0,0,0,0,0,0,1
1,2018,2018-02-23,2018-02-24,zero_return,10,-0.0476227997558,0,0,0,-0,0,-0,1
1,2018,2018-02-24,2018-02-25,zero_return,10,-0.00864443334608,0,0,0,-0,0,-0,1
1,2018,2018-02-25,2018-02-26,zero_return,10,0.0712444922607,0,0,0,0,0,0,1
1,2018,2018-02-26,2018-02-27,zero_return,10,0.0326017494938,0,0,0,0,0,0,1
1,2018,2018-02-27,2018-02-28,zero_return,10,-0.0331197809723,0,0,0,-0,0,-0,1
1,2018,2018-02-28,2018-03-01,zero_return,10,0.058102713226,0,0,0,0,0,0,1
1,2018,2018-03-01,2018-03-02,zero_return,10,0.0082440877252,0,0,0,0,0,0,1
1,2018,2018-03-02,2018-03-03,zero_return,10,0.0366910038234,0,0,0,0,0,0,1
1,2018,2018-03-03,2018-03-04,zero_return,10,0.00322459268717,0,0,0,0,0,0,1
1,2018,2018-03-04,2018-03-05,zero_return,10,0.0067885571096,0,0,0,0,0,0,1
1,2018,2018-03-05,2018-03-06,zero_return,10,-0.0777814580082,0,0,0,-0,0,-0,1
1,2018,2018-03-06,2018-03-07,zero_return,10,-0.075248865174,0,0,0,-0,0,-0,1
1,2018,2018-03-07,2018-03-08,zero_return,10,-0.0595603565688,0,0,0,-0,0,-0,1
1,2018,2018-03-08,2018-03-09,zero_return,10,-0.00562496537912,0,0,0,-0,0,-0,1
1,2018,2018-03-09,2018-03-10,zero_return,10,-0.0544376783244,0,0,0,-0,0,-0,1
1,2018,2018-03-10,2018-03-11,zero_return,10,0.0794922340505,0,0,0,0,0,0,1
1,2018,2018-03-11,2018-03-12,zero_return,10,-0.039192292151,0,0,0,-0,0,-0,1
1,2018,2018-03-12,2018-03-13,zero_return,10,0.00138217772389,0,0,0,0,0,0,1
1,2018,2018-03-13,2018-03-14,zero_return,10,-0.108076485276,0,0,0,-0,0,-0,1
1,2018,2018-03-14,2018-03-15,zero_return,10,0.00563492880737,0,0,0,0,0,0,1
1,2018,2018-03-15,2018-03-16,zero_return,10,0.0130145620352,0,0,0,0,0,0,1
1,2018,2018-03-16,2018-03-17,zero_return,10,-0.0609396693844,0,0,0,-0,0,-0,1
1,2018,2018-03-17,2018-03-18,zero_return,10,0.0382550466972,0,0,0,0,0,0,1
