fold,test_year,seed,best_epoch,epochs_ran,best_validation_loss,final_training_loss
1,2018,7,2,6,0.363934755325,0.286069997011
1,2018,17,5,9,0.367278426886,0.283568830362
1,2018,29,10,14,0.370453178883,0.282896998374
2,2019,7,16,20,0.318826824427,0.300502160971
2,2019,17,3,7,0.319670438766,0.30373550295
2,2019,29,10,14,0.319595456123,0.302369666768
3,2020,7,25,25,0.227162048221,0.310429315215
3,2020,17,1,5,0.22721105814,0.315247666921
3,2020,29,2,6,0.22923643887,0.315239095649
4,2021,7,16,20,0.231017902493,0.313707299722
4,2021,17,17,21,0.230829387903,0.311884860962
4,2021,29,25,25,0.231271728873,0.313414671864
5,2022,7,3,7,0.328960895538,0.313381093936
5,2022,17,2,6,0.329382687807,0.313424137299
5,2022,29,4,8,0.329955458641,0.313481331517
6,2023,7,21,25,0.217259630561,0.317636324565
6,2023,17,17,21,0.218595340848,0.316449181497
6,2023,29,13,17,0.21830457449,0.319146158962
7,2024,7,3,7,0.120049953461,0.321761172439
7,2024,17,1,5,0.119572222233,0.322387206793
7,2024,29,8,12,0.120457373559,0.321027934219
8,2025,7,11,15,0.182904005051,0.317816430213
8,2025,17,1,5,0.183391004801,0.320316349764
8,2025,29,9,13,0.183703497052,0.318719908862
