datetime,market_price_usd,addresses_with_1000_btc,addresses_with_100_btc,addresses_with_10_btc,addresses_with_1_btc,addresses_with_0.1_btc,addresses_with_0.01_btc
2010-08-17,0.07,159.0,731.0,51012.0,52870.0,53270.0,54908.0
2010-08-18,0.068,165.0,734.0,50962.0,52819.0,53267.0,54916.0
2010-08-19,0.0667,164.0,741.0,51037.0,52897.0,53356.0,55031.0
2010-08-20,0.0655,168.0,742.0,51082.0,52948.0,53410.0,55103.0
2010-08-21,0.0664,169.0,745.0,51173.0,53038.0,53510.0,55223.0
2010-08-22,0.0659289888953828,171.0,755.0,51215.0,53085.0,53555.0,55295.0
2010-08-23,0.06491,174.0,763.0,51269.0,53139.0,53587.0,55360.0
2010-08-24,0.065,176.0,769.0,51323.0,53188.0,53638.0,55446.0
2010-08-25,0.0648,178.0,777.0,51452.0,53321.0,53771.0,55596.0
2010-08-26,0.0640751139684395,179.0,787.0,51530.0,53318.0,53758.0,55598.0
2010-08-27,0.065,179.0,790.0,51581.0,53367.0,53809.0,55670.0
2010-08-28,0.0646,180.0,797.0,51647.0,53437.0,53884.0,55771.0
2010-08-29,0.064,181.0,805.0,51763.0,53556.0,54003.0,55909.0
2010-08-30,0.06497,186.0,808.0,51832.0,53600.0,54049.0,55990.0
2010-08-31,0.06,192.0,796.0,51813.0,53578.0,54029.0,55996.0
2010-09-01,0.0620248275862069,195.0,799.0,51877.0,53641.0,54099.0,56082.0
2010-09-02,0.0634,198.0,804.0,51883.0,53645.0,54102.0,56118.0
2010-09-03,0.06085,196.0,810.0,51976.0,53743.0,54201.0,56246.0
2010-09-04,0.062178275862069,196.0,812.0,52038.0,53807.0,54267.0,56342.0
2010-09-05,0.06165,198.0,812.0,52086.0,53859.0,54317.0,56397.0
2010-09-06,0.0616,200.0,819.0,52108.0,53881.0,54344.0,56450.0
2010-09-07,0.0612391180596142,201.0,822.0,52182.0,53960.0,54418.0,56541.0
2010-09-08,0.061,202.0,829.0,52264.0,54046.0,54513.0,56639.0
2010-09-09,0.0611149707773232,205.0,832.0,52326.0,54115.0,54591.0,56730.0
2010-09-10,0.0610115242548218,205.0,833.0,52413.0,54201.0,54684.0,56835.0
2010-09-11,0.0636208649912332,208.0,833.0,52514.0,54305.0,54784.0,56938.0
2010-09-12,0.0615,212.0,834.0,52451.0,54249.0,54733.0,56911.0
2010-09-13,0.06218,216.0,848.0,52505.0,54300.0,54785.0,56982.0
2010-09-14,0.06199,220.0,848.0,52581.0,54382.0,54861.0,57072.0
2010-09-15,0.0604,221.0,839.0,52645.0,54453.0,54934.0,57162.0
2010-09-16,0.0619,220.0,837.0,52661.0,54464.0,54941.0,57178.0
2010-09-17,0.0600005260081823,223.0,846.0,52260.0,54066.0,54544.0,56798.0
