,datetime,funding_rates,BTC_price
0,2022-05-22,2.3e-05,30331.87514173
1,2022-05-23,9e-05,29088.2515419638
2,2022-05-24,-7.7e-05,29643.6837556984
3,2022-05-25,3.3e-05,29577.259880187
4,2022-05-26,5.9e-05,29332.4860467563
5,2022-05-27,8e-05,28612.0413103448
6,2022-05-28,6.7e-05,29045.5206344243
7,2022-05-29,5.8e-05,29430.0689800117
8,2022-05-30,8.3e-05,31735.9549719462
9,2022-05-31,9.7e-05,31831.4095251315
10,2022-06-01,6.5e-05,29825.9221992987
11,2022-06-02,-1.2e-05,30504.2679997078
12,2022-06-03,-1.4e-05,29662.6709708942
13,2022-06-04,3.9e-05,29792.4076779077
14,2022-06-05,2.3e-05,29915.4093009936
15,2022-06-06,5.4e-05,31333.6770197545
16,2022-06-07,9.3e-05,31175.0324289889
17,2022-06-08,0.000109,30228.464698422
18,2022-06-09,7.3e-05,30064.4855289305
19,2022-06-10,7.5e-05,29070.4000300994
20,2022-06-11,2e-05,28360.7899231444
21,2022-06-12,8.7e-05,26830.2839456458
22,2022-06-13,3.5e-05,22316.2570400351
23,2022-06-14,8e-06,22072.8663085915
24,2022-06-15,-0.000104,22520.7910087668
25,2022-06-16,-2.7e-05,20310.1769848042
26,2022-06-17,-5.6e-05,20464.9290873174
27,2022-06-18,4.2e-05,19013.8672536528
28,2022-06-19,5.1e-05,20492.2951683226
29,2022-06-20,6.4e-05,20571.6292247224
30,2022-06-21,0.000105,20688.4651312098
31,2022-06-22,6e-06,20003.1683375219
32,2022-06-23,-5e-06,21097.1028331385
33,2022-06-24,5.4e-05,21299.0769853887
34,2022-06-25,2.3e-05,21468.3431566335
35,2022-06-26,6.4e-05,21066.6209430158
36,2022-06-27,5.5e-05,20751.0516960842
37,2022-06-28,-3e-05,20263.2196393922
38,2022-06-29,4e-05,20080.9480864991
39,2022-06-30,-1.6e-05,19332.9121294565
40,2022-07-01,-3.4e-05,19341.8631240795
41,2022-07-02,-2.4e-05,19231.8317083577
42,2022-07-03,3e-05,19276.5146639392
43,2022-07-04,6.4e-05,20226.2984745763
44,2022-07-05,1.9e-05,20193.3427938048
45,2022-07-06,7.6e-05,20560.8438126826
46,2022-07-07,5.7e-05,21651.4191423144
47,2022-07-08,-3.6e-05,21813.7871239042
48,2022-07-09,7.7e-05,21585.1321922852
49,2022-07-10,4.3e-05,20831.2733915839
50,2022-07-11,3e-05,19971.3294704851
51,2022-07-12,5.3e-05,19339.1534734074
52,2022-07-13,0.0,20155.5278386908
53,2022-07-14,1.3e-05,20552.8990289304
54,2022-07-15,4.5e-05,20831.722700526
55,2022-07-16,4.4e-05,21196.5091428989
56,2022-07-17,4.6e-05,20827.8886085915
57,2022-07-18,8e-05,22305.7066428989
58,2022-07-19,7.6e-05,23371.2026601403
59,2022-07-20,8.3e-05,23280.9356680304
60,2022-07-21,9.3e-05,23152.4093112215
61,2022-07-22,5.9e-05,22706.0835554646
62,2022-07-23,5.5e-05,22484.4592317358
63,2022-07-24,3.5e-05,22653.3570260082
64,2022-07-25,7.2e-05,21510.1255874342
65,2022-07-26,6.4e-05,21181.6591967855
66,2022-07-27,3.2e-05,22898.4150683226
67,2022-07-28,8.2e-05,23838.5568838691
68,2022-07-29,9.6e-05,23950.7403798948
69,2022-07-30,7.1e-05,23623.4349611338
70,2022-07-31,7.8e-05,23356.1722215079
71,2022-08-01,5e-05,23331.4426969608
72,2022-08-02,8.2e-05,23031.4268834015
73,2022-08-03,6e-06,22809.7474418469
74,2022-08-04,6e-06,22628.3320821157
75,2022-08-05,-1.1e-05,23248.9715023378
76,2022-08-06,6.1e-05,22996.2750452952
77,2022-08-07,6.4e-05,23153.6584713618
78,2022-08-08,7.1e-05,23803.6505154296
79,2022-08-09,6.4e-05,23186.2917464641
80,2022-08-10,2e-06,23923.0584830508
81,2022-08-11,5.7e-05,23934.4390561075
82,2022-08-12,6e-05,24396.3088462887
83,2022-08-13,1.5e-05,24426.2225748101
84,2022-08-14,2.5e-05,24314.2021315021
85,2022-08-15,-7e-06,24083.9539748685
86,2022-08-16,4.2e-05,23868.8193530099
87,2022-08-17,3.1e-05,23336.3489310345
88,2022-08-18,5.5e-05,23221.1706028638
89,2022-08-19,7.6e-05,20906.7663141438
90,2022-08-20,2e-06,21146.6548021625
91,2022-08-21,-3.1e-05,21553.9961717125
92,2022-08-22,-7.6e-05,21301.0840581531
93,2022-08-23,-3.4e-05,21534.5143521333
94,2022-08-24,-0.0,21424.9728232028
95,2022-08-25,-2.9e-05,21587.8395844535
96,2022-08-26,2e-06,20246.1655733489
97,2022-08-27,-1.9e-05,20043.9909485681
98,2022-08-28,-1.1e-05,19673.5412188778
99,2022-08-29,-9.3e-05,20270.960383986
100,2022-08-30,3e-06,19825.4632066043
101,2022-08-31,-1e-06,20024.6716059614
102,2022-09-01,5.8e-05,20105.4626072472
103,2022-09-02,3e-05,19948.8567472823
104,2022-09-03,-2.5e-05,19803.8332697253
105,2022-09-04,-1.4e-05,19961.9118907072
106,2022-09-05,4e-05,19797.7967884278
107,2022-09-06,1.2e-05,18846.150537405
108,2022-09-07,-5.5e-05,19292.9070745178
109,2022-09-08,1e-06,19319.1248512566
110,2022-09-09,7e-06,21363.3136152542
111,2022-09-10,5.1e-05,21715.2107980713
112,2022-09-11,5.1e-05,21732.7705686733
113,2022-09-12,5.6e-05,22365.2145601987
114,2022-09-13,6.1e-05,20165.0421607247
115,2022-09-14,-1.7e-05,20246.3660424313
116,2022-09-15,-6e-06,19696.8698661601
117,2022-09-16,4.9e-05,19741.5776168907
118,2022-09-17,2.5e-05,20120.7023459965
119,2022-09-18,4.2e-05,19427.1002626534
120,2022-09-19,2.8e-05,19557.9769582116
121,2022-09-20,5e-05,18872.9498667446
122,2022-09-21,4.9e-05,18506.7607481005
123,2022-09-22,-0.00011,19414.5396449445
124,2022-09-23,3.5e-05,19326.8648199883
125,2022-09-24,2.3e-05,18924.7677872589
126,2022-09-25,1.4e-05,18793.1561531268
127,2022-09-26,-8e-06,19201.1317209234
128,2022-09-27,-8e-06,19106.7389135009
129,2022-09-28,-0.0,19454.937210111
130,2022-09-29,2.8e-05,19540.8664105786
131,2022-09-30,7.3e-05,19435.1946917008
132,2022-10-01,2.1e-05,19311.861629398
133,2022-10-02,3.4e-05,19015.2928050847
134,2022-10-03,1.9e-05,19633.4325859147
135,2022-10-04,6.1e-05,20339.9712811221
136,2022-10-05,4e-05,20155.0996987142
137,2022-10-06,7.4e-05,19950.5477957335
138,2022-10-07,6.5e-05,19539.1439216832
139,2022-10-08,2.9e-05,19416.1772291058
140,2022-10-09,2.3e-05,19428.3671323787
141,2022-10-10,3.2e-05,19154.4042346581
142,2022-10-11,6.4e-05,19039.2820683811
143,2022-10-12,7e-05,19156.9115645821
144,2022-10-13,4.2e-05,19387.8336806546
145,2022-10-14,1.6e-05,19177.6941031561
146,2022-10-15,3.2e-05,19069.8749272355
147,2022-10-16,1.9e-05,19261.7497878434
148,2022-10-17,1.2e-05,19557.0218106371
149,2022-10-18,6.3e-05,19341.4075543542
150,2022-10-19,5.2e-05,19132.1544254822
151,2022-10-20,7.2e-05,19033.3760239626
152,2022-10-21,3.1e-05,19174.8763487434
153,2022-10-22,1.6e-05,19207.6285078901
154,2022-10-23,1.7e-05,19565.4123243717
155,2022-10-24,6.1e-05,19341.460210111
156,2022-10-25,1.9e-05,20094.9611215663
157,2022-10-26,-2.4e-05,20797.0308258328
158,2022-10-27,-1e-05,20280.1751280538
159,2022-10-28,-4e-06,20604.6138535944
160,2022-10-29,2.1e-05,20803.8999205143
161,2022-10-30,-1.1e-05,20616.7033766803
162,2022-10-31,1.9e-05,20490.8581808884
163,2022-11-01,1.9e-05,20483.966530976
164,2022-11-02,4.7e-05,20148.2845537697
165,2022-11-03,3.3e-05,20198.1111860316
166,2022-11-04,3.6e-05,21157.2449275278
167,2022-11-05,3.9e-05,21283.4715999416
168,2022-11-06,3.2e-05,20946.8030359439
169,2022-11-07,7.2e-05,20568.5651183518
170,2022-11-08,4.8e-05,18520.971163647
171,2022-11-09,-0.00013,15758.2912819988
172,2022-11-10,-0.000718,17541.5602866745
173,2022-11-11,0.000173,16916.8506312098
174,2022-11-12,-0.000118,16771.2426718293
175,2022-11-13,-3.4e-05,16320.4983375219
176,2022-11-14,4.7e-05,16629.4784146698
177,2022-11-15,-5.1e-05,16855.59378609
178,2022-11-16,-0.000226,16659.6063345996
179,2022-11-17,-7.4e-05,16675.1790204559
180,2022-11-18,-0.00023,16661.5229576271
181,2022-11-19,6.8e-05,16696.0040581531
182,2022-11-20,-3.7e-05,16246.8446992987
183,2022-11-21,8.9e-05,15778.0174047341
184,2022-11-22,-7.9e-05,16172.8893445354
185,2022-11-23,5.8e-05,16574.0617299825
186,2022-11-24,7e-06,16583.5243445354
187,2022-11-25,-1.5e-05,16522.3887767388
188,2022-11-26,0.0,16448.6413077148
189,2022-11-27,1.7e-05,16436.0707688486
190,2022-11-28,-5e-06,16212.5814161309
191,2022-11-29,5.6e-05,16443.0368199883
192,2022-11-30,3.1e-05,17176.8986914085
193,2022-12-01,-9.9e-05,16961.2918042081
194,2022-12-02,0.000113,17075.1091370544
195,2022-12-03,-6.3e-05,16899.5073831093
196,2022-12-04,5e-05,17121.7149824664
197,2022-12-05,-6.6e-05,16961.3517866745
198,2022-12-06,6.2e-05,17070.5158281707
199,2022-12-07,8.4e-05,16848.2518243717
200,2022-12-08,2e-06,17231.4563223261
201,2022-12-09,-7.8e-05,17136.1490008767
