Date,Open_BTC-USD,High_BTC-USD,Low_BTC-USD,Close_BTC-USD,Adj Close_BTC-USD,Volume_BTC-USD,funding_rate
2019-09-11,10123.035156,10215.948242,9980.776367,10178.37207,10178.37207,15428063426,0.0001
2019-09-12,10176.819336,10442.253906,10099.242188,10410.126953,10410.126953,15323563925,0.0001
2019-09-13,10415.362305,10441.489258,10226.59668,10360.546875,10360.546875,14109864675,0.0001
2019-09-14,10345.40332,10422.133789,10291.694336,10358.048828,10358.048828,13468713124,0.0001
2019-09-16,10347.222656,10386.867188,10189.744141,10276.793945,10276.793945,15160167779,0.0001
2019-09-17,10281.513672,10296.771484,10199.739258,10241.272461,10241.272461,15304603363,0.0001
2019-09-18,10247.795898,10275.928711,10191.469727,10198.248047,10198.248047,16169268880,0.0001
2019-09-19,10200.496094,10295.668945,9851.692383,10266.415039,10266.415039,19937691247,0.0001
2019-09-20,10266.318359,10285.87207,10132.186523,10181.641602,10181.641602,14734189639,0.0001
2019-09-21,10183.648438,10188.097656,10000.708008,10019.716797,10019.716797,13425266806,0.0001
2019-09-22,10024.115234,10074.444336,9922.533203,10070.392578,10070.392578,13199651698,0.0001
2019-09-23,10067.962891,10074.238281,9727.143555,9729.324219,9729.324219,15144925408,0.0001
2019-09-25,8603.428711,8744.828125,8325.396484,8486.993164,8486.993164,21744728353,0.0001
2019-09-26,8487.669922,8515.685547,7895.629395,8118.967773,8118.967773,19258205289,0.0001
2019-09-28,8251.273438,8285.617188,8125.431641,8245.915039,8245.915039,14141152736,0.0001
2019-09-29,8246.037109,8261.707031,7990.49707,8104.185547,8104.185547,13034629109,0.0001
2019-09-30,8104.226563,8314.231445,7830.758789,8293.868164,8293.868164,17115474183,0.0001
2019-10-01,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413,0.0001
2019-10-02,8344.212891,8393.041992,8227.695313,8393.041992,8393.041992,13125712443,0.0001
2019-10-03,8390.774414,8414.227539,8146.437012,8259.992188,8259.992188,13668823409,-0.0003222
2019-10-05,8210.149414,8215.526367,8071.120605,8151.500488,8151.500488,12200497197,-0.00025688
2019-10-06,8149.876953,8161.410156,7958.850586,7988.155762,7988.155762,13160830305,-0.00011057
2019-10-09,8229.84082,8627.706055,8169.298828,8595.740234,8595.740234,19384942333,0.0001
2019-10-10,8585.280273,8625.272461,8471.933594,8586.473633,8586.473633,17618660671,0.0001
2019-10-11,8585.262695,8721.780273,8316.181641,8321.756836,8321.756836,19604381101,0.0001
2019-10-12,8315.665039,8415.242188,8313.34082,8336.555664,8336.555664,14532641605,0.0001
2019-10-13,8336.902344,8470.988281,8276.612305,8321.005859,8321.005859,13808286059,0.0001
2019-10-14,8320.832031,8390.208984,8284.130859,8374.686523,8374.686523,15151387859,0.0001
2019-10-15,8373.458008,8410.714844,8182.706543,8205.369141,8205.369141,15220412632,0.0001
2019-10-16,8204.674805,8216.8125,7985.089844,8047.526855,8047.526855,16071646996,0.0001
2019-10-17,8047.8125,8134.831543,8000.942871,8103.911133,8103.911133,14313052244,0.0001
2019-10-18,8100.933594,8138.413574,7902.164063,7973.20752,7973.20752,15651592610,0.0001
2019-10-20,7997.807129,8281.818359,7949.439453,8222.078125,8222.078125,15504249442,0.0001
2019-10-21,8225.115234,8296.694336,8196.416016,8243.720703,8243.720703,15868748866,0.0001
2019-10-22,8243.402344,8296.651367,8074.462891,8078.203125,8078.203125,16803377857,0.0001
2019-10-23,8076.228516,8092.999512,7469.322754,7514.671875,7514.671875,21942878958,0.0001
2019-10-24,7509.728027,7532.867676,7446.98877,7493.48877,7493.48877,16268708849,0.0001
2019-10-25,7490.703125,8691.540039,7479.984375,8660.700195,8660.700195,28705065488,0.0001
2019-10-26,8667.577148,10021.744141,8662.62207,9244.972656,9244.972656,44496255609,0.0001
2019-10-28,9565.101563,9805.118164,9256.148438,9256.148438,9256.148438,30948255332,0.00012485
2019-10-29,9248.44043,9516.180664,9232.648438,9427.6875,9427.6875,28426779937,0.00053797
2019-10-30,9422.462891,9426.874023,9085.370117,9205.726563,9205.726563,27706531577,0.00025294
2019-10-31,9202.458008,9383.161133,9028.717773,9199.584961,9199.584961,26583653947,0.0001317
2019-11-01,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031,0.00015873
2019-11-02,9259.783203,9377.486328,9249.587891,9324.717773,9324.717773,21242676385,0.0001
2019-11-03,9324.787109,9379.806641,9141.251953,9235.354492,9235.354492,21132220847,0.0001
2019-11-04,9235.607422,9505.051758,9191.485352,9412.612305,9412.612305,26170255634,0.0001
2019-11-05,9413.004883,9457.417969,9256.931641,9342.527344,9342.527344,26198609048,0.0001
2019-11-06,9340.864258,9423.237305,9305.90918,9360.879883,9360.879883,23133895765,0.0001
2019-11-07,9352.393555,9368.476563,9202.353516,9267.561523,9267.561523,22700383839,0.00027025
2019-11-08,9265.368164,9272.759766,8775.53418,8804.880859,8804.880859,24333037836,0.000125
2019-11-09,8809.46875,8891.818359,8793.163086,8813.582031,8813.582031,17578630606,0.0001
